"year","mean_aflatoxin","median_aflatoxin"
2016,2.29222222222222,0
2017,12.5663888888889,0
2018,2.79514285714286,0
2019,10.5754166666667,0
2020,1.73152777777778,0
2021,3.74014084507042,0
2022,1.96056338028169,0
2023,2.15083333333333,0.01
2016,1.00944444444444,0.03
2017,17.5823611111111,0
2018,3.75771428571429,0.005
2019,7.16638888888889,0
2020,15.6397222222222,0
2021,1.49464788732394,0
2022,3.44774647887324,0
2023,1.10333333333333,0
2016,0.361388888888889,0
2017,5.58055555555556,0
2018,5.234,0
2019,2.46402777777778,0
2020,3.63180555555556,0
2021,17.8740845070423,0.01
2022,12.8607042253521,0
2023,0.911944444444444,0
2016,4.225,0
2017,6.57680555555556,0
2018,2.45614285714286,0
2019,1.07305555555556,0
2020,1.14277777777778,0
2021,4.65197183098592,0
2022,3.28211267605634,0.01
2023,2.075,0
2016,0.380555555555556,0
2017,1.43944444444444,0
2018,9.67414285714286,0
2019,8.27902777777778,0
2020,1.08583333333333,0
2021,4.7687323943662,0
2022,1.65422535211268,0
2023,8.82638888888889,0
2016,5.46666666666667,0
2017,5.91430555555556,0
2018,1.00228571428571,0.01
2019,3.59958333333333,0.01
2020,2.76138888888889,0
2021,12.4761971830986,0.02
2022,2.28183098591549,0
2023,2.80833333333333,0
2016,1.76666666666667,0
2017,5.21319444444444,0
2018,2.91571428571429,0
2019,1.77138888888889,0
2020,5.60972222222222,0
2021,5.71845070422535,0
2022,14.8594366197183,0
2023,0.861111111111111,0
2016,1.23333333333333,0
2017,4.31430555555556,0
2018,3.51857142857143,0
2019,4.64277777777778,0
2020,5.58986111111111,0
2021,0.777605633802817,0
2022,0.927183098591549,0
2023,1.98111111111111,0
2016,2.12055555555556,0.015
2017,4.85111111111111,0
2018,18.9684285714286,0
2019,17.8602777777778,0
2020,0.737916666666667,0
2021,5.33521126760563,0
2022,6.81056338028169,0
2023,0.736388888888889,0
2016,6.59472222222222,0
2017,17.1681944444444,0
2018,9.55885714285714,0
2019,0.73375,0
2020,12.9891666666667,0
2021,11.2643661971831,0
2022,4.4912676056338,0
2023,8.88555555555556,0
2016,3.81055555555556,0
2017,1.21861111111111,0
2018,7.993,0
2019,1.60472222222222,0
2020,0.235555555555556,0
2021,1.62647887323944,0
2022,2.36112676056338,0
2023,1.36277777777778,0
2016,4.4475,0.005
2017,1.67,0
2018,8.86371428571429,0
2019,1.89458333333333,0
2020,23.4841666666667,0
2021,1.42577464788732,0
2022,3.90478873239437,0
2023,1.42833333333333,0
2016,1.72055555555556,0.01
2017,15.6572222222222,0
2018,3.08142857142857,0
2019,3.22958333333333,0
2020,4.58694444444444,0
2021,5.01549295774648,0
2022,2.0287323943662,0.03
2023,2.05416666666667,0
2016,6.31805555555556,0.03
2017,0.822083333333333,0
2018,0.932571428571429,0
2019,1.91708333333333,0.01
2020,6.54194444444444,0.01
2021,1.17338028169014,0
2022,12.96,0
2023,0.213611111111111,0
2016,5.11944444444444,0.155
2017,5.14972222222222,0
2018,6.71685714285714,0
2019,6.50888888888889,0
2020,10.3922222222222,0
2021,3.26774647887324,0
2022,1.30380281690141,0
2023,3.30416666666667,0
2016,1.14583333333333,0
2017,1.92722222222222,0
2018,3.20228571428571,0
2019,7.54319444444444,0
2020,1.28347222222222,0
2021,16.0712676056338,0
2022,4.66295774647887,0
2023,0.1525,0
2016,4.97611111111111,0
2017,1.76388888888889,0
2018,4.16714285714286,0
2019,3.84902777777778,0
2020,5.67236111111111,0
2021,6.95267605633803,0
2022,10.672676056338,0
2023,5.5325,0
2016,2.2425,0.025
2017,3.08555555555556,0
2018,21.0121428571429,0.015
2019,9.40944444444444,0
2020,5.93319444444444,0.005
2021,6.13619718309859,0
2022,6.16676056338028,0
2023,2.69305555555556,0.01
2016,2.30916666666667,0
2017,10.3041666666667,0
2018,6.61957142857143,0
2019,3.29458333333333,0.01
2020,1.05277777777778,0
2021,3.93985915492958,0
2022,4.72154929577465,0
2023,8.72222222222222,0.015
2016,3.21444444444444,0
2017,2.04,0
2018,8.34128571428571,0
2019,3.28930555555556,0
2020,1.01930555555556,0
2021,1.13338028169014,0
2022,3.9269014084507,0
2023,22.8119444444444,0
2016,5.55777777777778,0
2017,10.52125,0
2018,1.58671428571429,0
2019,7.71875,0
2020,1.79194444444444,0
2021,2.00478873239437,0
2022,9.59394366197183,0.01
2023,0.598055555555556,0
2016,4.12444444444444,0
2017,0.27,0
2018,7.02471428571429,0
2019,3.17236111111111,0
2020,9.10763888888889,0
2021,6.23633802816901,0
2022,2.10788732394366,0
2023,2.04055555555556,0
2016,2.08416666666667,0
2017,3.96583333333333,0
2018,2.839,0
2019,9.91722222222222,0.01
2020,2.29972222222222,0
2021,2.49915492957746,0
2022,2.54239436619718,0
2023,0.691944444444444,0.02
2016,10.5011111111111,0
2017,3.91611111111111,0
2018,0.420428571428571,0
2019,2.72916666666667,0.05
2020,3.76027777777778,0
2021,1.53478873239437,0
2022,0.927605633802817,0
2023,18.9172222222222,0
2016,1.1425,0.005
2017,3.16763888888889,0
2018,3.05942857142857,0
2019,6.96013888888889,0
2020,12.8963888888889,0
2021,4.89661971830986,0.01
2022,3.23183098591549,0
2023,1.26666666666667,0
2016,5.85722222222222,0.015
2017,3.77111111111111,0
2018,1.51428571428571,0
2019,0.681805555555556,0
2020,1.30361111111111,0
2021,0.891267605633803,0
2022,1.10661971830986,0
2023,0.821666666666667,0
2016,2.26527777777778,0
2017,11.6725,0
2018,5.47142857142857,0
2019,1.29777777777778,0
2020,4.33819444444444,0
2021,0.889295774647887,0
2022,6.50901408450704,0
2023,2.49861111111111,0.035
2016,13.5366666666667,0.045
2017,3.56847222222222,0
2018,3.331,0.005
2019,0.896666666666667,0
2020,5.69263888888889,0
2021,1.78281690140845,0
2022,11.5056338028169,0.01
2023,8.90333333333333,0
2016,2.99166666666667,0
2017,7.60958333333333,0
2018,5.13442857142857,0
2019,10.0555555555556,0
2020,1.14180555555556,0
2021,4.65718309859155,0
2022,1.73577464788732,0
2023,1.75888888888889,0
2016,0.873055555555556,0
2017,1.45111111111111,0
2018,3.24585714285714,0
2019,2.41263888888889,0
2020,2.27083333333333,0
2021,10.6222535211268,0
2022,4.61845070422535,0
2023,1.67472222222222,0.02
2016,1.67138888888889,0
2017,4.17666666666667,0
2018,1.94457142857143,0.015
2019,0.972777777777778,0.02
2020,3.26777777777778,0
2021,17.5447887323944,0
2022,1.5456338028169,0
2023,1.82194444444444,0.02
2016,1.64777777777778,0
2017,6.40013888888889,0
2018,3.53771428571429,0
2019,0.844444444444444,0
2020,11.9172222222222,0
2021,1.96521126760563,0
2022,0.604788732394366,0
2023,1.33611111111111,0.005
2016,16.5022222222222,0
2017,3.92458333333333,0.01
2018,1.64142857142857,0
2019,4.59083333333333,0
2020,0.629305555555556,0
2021,2.65943661971831,0
2022,4.59225352112676,0
2023,3.74,0
2016,1.29305555555556,0
2017,3.28263888888889,0.005
2018,3.68757142857143,0.005
2019,8.01541666666667,0
2020,2.32625,0
2021,3.17788732394366,0.01
2022,10.0901408450704,0
2023,4.21972222222222,0
2016,3.89083333333333,0
2017,1.03263888888889,0
2018,6.51142857142857,0
2019,5.56319444444444,0
2020,8.58555555555555,0.01
2021,5.79450704225352,0
2022,1.21605633802817,0
2023,1.45972222222222,0
2016,16.0375,0
2017,1.52236111111111,0.01
2018,8.73157142857143,0
2019,4.52916666666667,0
2020,1.55152777777778,0
2021,2.23211267605634,0.01
2022,0.89169014084507,0
2023,4.26138888888889,0
2016,1.34861111111111,0
2017,1.02652777777778,0.005
2018,7.96042857142857,0
2019,0.467638888888889,0
2020,14.9383333333333,0
2021,0.651549295774648,0
2022,15.1477464788732,0
2023,0.358888888888889,0
2016,1.1775,0
2017,1.42222222222222,0
2018,3.37557142857143,0.02
2019,2.16694444444444,0.005
2020,0.962777777777778,0
2021,8.20929577464789,0
2022,20.0870422535211,0.01
2023,15.2844444444444,0
2016,0.570833333333333,0
2017,3.80069444444444,0
2018,5.28128571428571,0
2019,7.35208333333333,0
2020,1.98069444444444,0
2021,0.294366197183099,0
2022,9.96901408450704,0.01
2023,2.41583333333333,0
2016,29.5161111111111,0.015
2017,1.93263888888889,0
2018,1.27071428571429,0
2019,10.2915277777778,0
2020,12.4630555555556,0
2021,12.1221126760563,0
2022,3.06845070422535,0
2023,1.11361111111111,0
2016,0.338333333333333,0
2017,1.47694444444444,0
2018,2.54014285714286,0
2019,2.84583333333333,0
2020,1.77055555555556,0
2021,15.7753521126761,0
2022,2.72859154929577,0
2023,6.92805555555555,0
2016,1.69861111111111,0.01
2017,9.36069444444444,0
2018,13.4538571428571,0
2019,2.99513888888889,0
2020,1.61541666666667,0
2021,7.86239436619718,0.01
2022,6.31211267605634,0.01
2023,0.550277777777778,0
2016,0.875555555555556,0
2017,0.980138888888889,0
2018,5.64071428571429,0
2019,10.61125,0.01
2020,1.35597222222222,0.005
2021,3.07887323943662,0
2022,2.25338028169014,0
2023,0.277222222222222,0.01
2016,6.0825,0
2017,1.72708333333333,0
2018,7.60957142857143,0
2019,15.7345833333333,0
2020,13.6155555555556,0
2021,3.33788732394366,0
2022,15.5350704225352,0
2023,1.23805555555556,0
2016,5.46361111111111,0.005
2017,4.00388888888889,0
2018,0.864714285714286,0
2019,10.9851388888889,0
2020,1.30805555555556,0
2021,0.757464788732394,0
2022,8.04450704225352,0.01
2023,0.589166666666667,0
2016,7.88777777777778,0
2017,2.78833333333333,0
2018,5.21857142857143,0
2019,2.02083333333333,0
2020,0.988333333333333,0
2021,7.4387323943662,0
2022,3.06746478873239,0
2023,1.63888888888889,0
2016,0.856111111111111,0
2017,4.70930555555556,0
2018,3.56271428571429,0
2019,5.74152777777778,0.015
2020,3.06958333333333,0
2021,7.09028169014084,0.01
2022,3.81169014084507,0
2023,0.183611111111111,0
2016,2.26027777777778,0
2017,8.90333333333333,0
2018,0.764571428571429,0
2019,3.755,0
2020,17.4965277777778,0
2021,1.3287323943662,0
2022,5.44154929577465,0
2023,8.01777777777778,0
2016,19.8738888888889,0.03
2017,10.04375,0.01
2018,2.632,0
2019,2.99083333333333,0
2020,1.41152777777778,0
2021,2.1930985915493,0
