EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,LATFC,DTWT,MWTD,TDFD,TDFC,ROFD,ROSD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW8D,SW9D,SW10D,SW11D
017_AAAK,CRGRO048,1,1,2017-05-04T00:00:00Z,0,311,90,0,0,0,0,0,0,189,0,0,0,0,0,0.086,0.086,0.086,0.086,0.086,0.076,0.082,0.135,0.157,0.258,0.258
017_AAAK,CRGRO048,1,1,2017-05-05T00:00:00Z,1,298,77,0,18,1,1,8,0,202,0,0,0,0,0,0.123,0.117,0.092,0.086,0.086,0.076,0.082,0.135,0.157,0.237,0.22
017_AAAK,CRGRO048,1,1,2017-05-06T00:00:00Z,2,285,64,0,28,1,1,8,0,209,0,0,0,0,0,0.035,0.114,0.098,0.086,0.086,0.076,0.082,0.135,0.157,0.228,0.2
017_AAAK,CRGRO048,1,1,2017-05-07T00:00:00Z,3,281,60,0,31,1,1,8,0,212,0,0,0,0,0,0.038,0.112,0.098,0.086,0.086,0.076,0.082,0.135,0.157,0.225,0.192
017_AAAK,CRGRO048,1,1,2017-05-08T00:00:00Z,4,280,59,0,32,1,1,8,0,213,0,0,0,0,0,0.038,0.11,0.098,0.086,0.086,0.076,0.082,0.135,0.158,0.225,0.189
017_AAAK,CRGRO048,1,1,2017-05-09T00:00:00Z,5,280,59,0,32,1,1,8,0,213,0,0,0,0,0,0.038,0.109,0.098,0.087,0.086,0.076,0.082,0.135,0.158,0.225,0.189
017_AAAK,CRGRO048,1,1,2017-05-10T00:00:00Z,6,280,58,0,32,1,1,8,0,213,0,0,0,0,0,0.038,0.107,0.098,0.087,0.086,0.076,0.082,0.135,0.158,0.224,0.189
017_AAAK,CRGRO048,1,1,2017-05-11T00:00:00Z,7,279,58,0,32,1,1,8,0,213,0,0,0,0,0,0.038,0.106,0.098,0.087,0.086,0.076,0.082,0.135,0.158,0.224,0.189
017_AAAK,CRGRO048,1,1,2017-05-12T00:00:00Z,8,283,62,0,32,4,1,8,0,213,0,0,0,0,0,0.113,0.105,0.098,0.087,0.086,0.076,0.082,0.135,0.158,0.224,0.189
017_AAAK,CRGRO048,1,1,2017-05-13T00:00:00Z,9,303,82,0,32,28,1,8,0,213,0,0,0,0.29,0,0.173,0.177,0.149,0.125,0.092,0.076,0.082,0.135,0.158,0.224,0.189
017_AAAK,CRGRO048,1,1,2017-05-14T00:00:00Z,10,298,77,0,32,28,1,8,0,213,0,0,0,0,0,0.037,0.138,0.128,0.117,0.119,0.078,0.082,0.135,0.158,0.224,0.189
017_AAAK,CRGRO048,1,1,2017-05-15T00:00:00Z,11,298,77,0,32,28,1,8,0,213,0,0,0,0,0,0.038,0.122,0.119,0.115,0.119,0.087,0.082,0.135,0.158,0.224,0.189
017_AAAK,CRGRO048,1,1,2017-05-16T00:00:00Z,12,297,76,0,32,28,1,8,0,213,0,0,0,0,0,0.038,0.114,0.115,0.115,0.119,0.089,0.083,0.135,0.159,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-17T00:00:00Z,13,297,76,0,32,28,1,8,0,213,0,0,0,0,0,0.038,0.112,0.114,0.115,0.119,0.089,0.083,0.135,0.159,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-18T00:00:00Z,14,297,76,0,32,28,1,8,0,213,0,0,0,0,0,0.038,0.11,0.113,0.115,0.119,0.09,0.083,0.135,0.159,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-19T00:00:00Z,15,296,75,0,32,28,1,8,0,213,0,0,0,0,0,0.038,0.108,0.112,0.114,0.119,0.09,0.083,0.135,0.159,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-20T00:00:00Z,16,296,75,0,32,28,1,8,0,213,0,0,0,0,0,0.038,0.106,0.111,0.114,0.119,0.09,0.083,0.135,0.159,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-21T00:00:00Z,17,314,93,0,32,47,1,8,0,213,0,0,0,0,0,0.247,0.14,0.13,0.124,0.121,0.093,0.083,0.135,0.159,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-22T00:00:00Z,18,310,89,0,32,47,1,8,0,213,0,0,0,0,0,0.077,0.123,0.119,0.117,0.121,0.117,0.083,0.135,0.159,0.222,0.189
017_AAAK,CRGRO048,1,1,2017-05-23T00:00:00Z,19,318,97,0,32,57,1,8,0,213,0,0,0,0,0,0.155,0.135,0.13,0.125,0.122,0.122,0.083,0.135,0.159,0.222,0.189
017_AAAK,CRGRO048,1,1,2017-05-24T00:00:00Z,20,358,136,11,32,108,1,8,0,213,0,0,0,10.25,0,0.227,0.234,0.234,0.192,0.136,0.129,0.112,0.135,0.16,0.222,0.189
017_AAAK,CRGRO048,1,1,2017-05-25T00:00:00Z,21,351,130,11,32,108,1,8,0,213,0,0,0,0,0,0.035,0.16,0.16,0.144,0.126,0.123,0.138,0.195,0.191,0.222,0.189
017_AAAK,CRGRO048,1,1,2017-05-26T00:00:00Z,22,349,128,11,34,108,1,8,0,213,0,0,0,0,0,0.038,0.128,0.13,0.124,0.122,0.121,0.138,0.195,0.216,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-27T00:00:00Z,23,346,125,11,36,108,1,8,0,213,0,0,0,0,0,0.038,0.116,0.118,0.117,0.121,0.121,0.138,0.195,0.216,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-28T00:00:00Z,24,345,124,11,37,108,1,8,0,213,0,0,0,0,0,0.038,0.111,0.114,0.114,0.121,0.121,0.138,0.195,0.216,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-29T00:00:00Z,25,344,123,11,37,108,1,8,0,213,0,0,0,0,0,0.038,0.109,0.112,0.113,0.121,0.121,0.138,0.195,0.216,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-30T00:00:00Z,26,344,123,11,37,108,1,8,0,213,0,0,0,0,0,0.038,0.106,0.111,0.112,0.121,0.121,0.138,0.195,0.216,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-05-31T00:00:00Z,27,372,151,11,37,138,1,8,0,213,0,0,0,0.8,0,0.252,0.181,0.157,0.139,0.125,0.123,0.143,0.197,0.218,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-06-01T00:00:00Z,28,354,133,11,51,138,1,8,0,213,0,0,0,0,0,0.087,0.139,0.13,0.123,0.121,0.121,0.14,0.197,0.218,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-06-02T00:00:00Z,29,347,126,11,54,138,1,8,0,213,0,0,0,0,0,0.037,0.121,0.118,0.115,0.121,0.121,0.14,0.197,0.218,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-06-03T00:00:00Z,30,346,125,11,55,138,1,8,0,213,0,0,0,0,0,0.038,0.112,0.112,0.113,0.121,0.121,0.14,0.197,0.218,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-06-04T00:00:00Z,31,345,124,11,55,138,1,8,0,213,0,0,0,0,0,0.038,0.108,0.109,0.111,0.12,0.121,0.14,0.197,0.218,0.223,0.189
017_AAAK,CRGRO048,1,1,2017-06-05T00:00:00Z,32,364,143,11,56,159,1,8,0,214,0,0,0,0,0,0.252,0.147,0.134,0.125,0.122,0.121,0.141,0.197,0.218,0.225,0.188
